"area","total_funcionarios","funcionarios_habilitados","exp_recibidos_periodo","exp_derivados_periodo","stock_actual","promedio_dias_tramitacion"
Juez de Sumario,23,17,1342,1017,1283,7
Dictaminante,7,7,969,733,965,13
Dpto. Judicial,7,6,478,383,472,7
Relator,5,4,138,102,121,12
Coordinación,11,11,59,38,58,9
Ujier Notificador,7,5,38,38,34,12
Mesa Entrada,3,3,0,0,0,
